,,,,,,,,
Wednesday,F-306,Entrepreneurship (BCS-8A),Operating Systems (BCS-4J),Operating Systems (BCS-4K),Advanced Statistics (BDS-4A),Data Structures (BCS-4A),,
Wednesday,F-307,Univeristy Elective-I (BDS-4C),Data Structures (BCS-4B),Compiler Construction (BCS-6J),Operating Systems (BCS-4G),Operating Systems (BCS-4F),,
Wednesday,F-308,Deep Learning (BCS-8A),Artificial Intelligence (BCS-6B),Artificial Intelligence (BCS-6A),Theory of Automata (BCS-6A),,,
Wednesday,F-309,,Web Engineering (BSE-6A),Web Engineering (BSE-6B),Artificial Intelligence (BCS-6E),Artificial Intelligence (BCS-6D),,
Wednesday,F-310,Digital Logic Design (BCS-2J),Web Programming (BCS-8B),Data Science (BCS-8A),,Digital Logic Design (BCS-2G),,
Wednesday,F-311,,Intro to Cloud Computing (BCS-8B),Web Programming (BDS-8B),Data Science (BSE-8A),Applied Artificial Intelligence (BSE-6A),,
Wednesday,F-312,,Intro to Cloud Computing (BCS-8A),Formal Methods (BSE-6A)  ,,Parallel & Distributed Comp (BCS-6B),,
Wednesday,C-1,Civics and Community Eng (BDS-4A),,Tech. & Business Writing (BCS-4J),Entrepreneurship (BDS-8A),French Language (BCS-4A),,
Wednesday,C-2,Digital Logic Design (BCS-2F),Civics and Community Eng (BCS-2J),,Multivariable Calculus (BCS-2J),,,
Wednesday,C-3,,Holy Quran (BSE-4A),Sirat-Un-Nabi (PBUH) (BSE-4A),Tech. & Business Writing (BCS-4K),Probability & Statistics (BCS-4D),Modern Politics & Govt (BCS-4A),
Wednesday,C-4,Advanced Theory of Computation (MCS-1A),,Multivariable Calculus (BDS-2C),Civics and Community Eng (BCS-2C),,,
Wednesday,C-5,Adv. Parallel and Distributed Systems (MCS-2A),,Software Engineering (BCS-6K),Digital Logic Design (BCS-2D),Tech. & Business Writing (BCS-4C),Tech. & Business Writing (BCS-4D),
Wednesday,C-6,Artificial Intelligence (BDS-6A),Islamic Studies/Ethics & Holy Quran (BCS-2C),,French Langauge (BCS-8A),Multivariable Calculus (BCS-2A),,
Wednesday,C-7,,Civics and Community Eng (BCS-2E),,Islamic Studies/Ethics & Holy Quran (BCS-2E),,,
Wednesday,C-13,Ideology and Const of Pak & Seerat (BCS-2H),,Probability & Statistics (BCS-4C),Tech. & Business Writing (BCS-4A),Tech. & Business Writing (BCS-4B),,
Wednesday,C-14,Mass Communication (BCS-4A),Brand Management (BCS-4A),Holy Quran (BSE-4B),Sirat-Un-Nabi (PBUH) (BSE-4B),Civics and Community Eng (BSE-2B),,
Wednesday,D-2,Expository Writing (BDS-2A),,Tech. & Business Writing (BCS-4E),Islamic Studies/Ethics & Holy Quran (BSE-2A),,Tech. & Business Writing (BCS-4F),
Wednesday,D-5,,Expository Writing (BDS-2B),,Game Development (BCS-8B),Tech. & Business Writing (BCS-4H),Tech. & Business Writing (BCS-4G),
Wednesday,English Lab-1,,,,,,,
Wednesday,English Lab-2,,,,,,,
Wednesday,English Lab-3,,,,,,,
Wednesday,English Lab-4,,,,,,,
Wednesday,English Lab-5,,,,,,,
Wednesday,English Lab-6,,,,,,,
Wednesday,Lab-1,Communication & Presentation Skills Lab (BCS-6A),,Computer Networks Lab (BSE-6C),,,,
Wednesday,Lab-2,,Object Oriented Programming Lab (BCS-2D),,,,,
Wednesday,Lab-3,,Artificial Intelligence Lab (BDS-6A),,,,,
Wednesday,Lab-4,,,,,,,
Wednesday,Lab-6,,,,,,,
Wednesday,Lab-8,,,,,,,
Wednesday,Lab-13,,,Database Systems Lab (BCS-4H),,Operating Systems Lab (BSE-4B),,
Wednesday,Lab-14,Computer Networks Lab (BSE-6B),,Object Oriented Programming Lab (BCS-2K),,Object Oriented Programming Lab (BCS-2B),,
Wednesday,Lab-15,,,Object Oriented Programming Lab (BCS-2G),,,,
Wednesday,Lab-16,,,Artificial Intelligence Lab (BCS-6C),,,,
Wednesday,Physics Lab,,,,,,,
Wednesday,Micro Lab,,,,,,,
Wednesday,Physics Lab,,,,,,,
Wednesday,Micro Lab,,,,,,,
Wednesday,Physics Lab,Digital Logic Design Lab (BCS-2G1),,Digital Logic Design Lab (BCS-2H1),,,,
Wednesday,Micro Lab,Digital Logic Design Lab (BCS-2G2),,Digital Logic Design Lab (BCS-2H2),,,,
,,,,,,,,
Thursday,Seminar Hall,Probability & Statistics (BCS-4G),Probability & Statistics (BCS-4H),Multivariable Calculus (BCS-2F),,Multivariable Calculus (BCS-2E),,
